"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double","state"
108,"25/06","Australian Capital Territory","Australia","-35.4735","149.0124",146,95,4.68213122712433,-1.88126336664836e-16,108.00000000001,108.00000000001,-2.22044604925031e-16,"---","ACT"
108,"30/06","Australian Capital Territory","Australia","-35.4735","149.0124",151,100,4.68213122712431,0,108.00000000001,108.00000000001,0,"Inf","ACT"
108,"05/07","Australian Capital Territory","Australia","-35.4735","149.0124",156,105,4.68213122712434,-2.53242519512984e-16,108.00000000001,108.00000000001,-2.22044604925031e-16,"---","ACT"
113,"10/07","Australian Capital Territory","Australia","-35.4735","149.0124",161,110,3.83791517730322,0.00810824728595311,119.890653886659,107.025234997767,0.00814120814769126,"85.4866848672422","ACT"
13,"03/03","New South Wales","Australia","-33.8688","151.2093",32,0,0,0,1,1,0,"Inf","NSW"
38,"08/03","New South Wales","Australia","-33.8688","151.2093",37,5,0,0,1,1,0,"Inf","NSW"
92,"13/03","New South Wales","Australia","-33.8688","151.2093",42,10,2.74994510778745,0.173253660737652,297.453330475164,26.3036073138464,0.189167711988515,"4.00076499168198","NSW"
267,"18/03","New South Wales","Australia","-33.8688","151.2093",47,15,2.35144509497239,0.214656611750923,1180.73281397404,58.4807703935913,0.23943621605126,"3.22909774316312","NSW"
669,"23/03","New South Wales","Australia","-33.8688","151.2093",52,20,2.68418684167458,0.189805301806495,2462.49413286363,172.717232866837,0.20901418186335,"3.65188524220784","NSW"
1617,"28/03","New South Wales","Australia","-33.8688","151.2093",57,25,2.80434946226926,0.185125896770951,6175.70397433852,462.485684548728,0.20336993097996,"3.74419350641985","NSW"
2298,"02/04","New South Wales","Australia","-33.8688","151.2093",62,30,5.11074238400749,0.0903286106727343,4688.65471385839,1323.85131385947,0.0945339001363299,"7.67361720054853","NSW"
2686,"07/04","New South Wales","Australia","-33.8688","151.2093",67,35,6.85201804194275,0.0300813193798594,3345.70748656214,2195.7852020666,0.0305383332843998,"23.0424461044097","NSW"
2857,"12/04","New South Wales","Australia","-33.8688","151.2093",72,40,7.36398718225047,0.0151317937204994,3213.71056281763,2600.18109895198,0.0152468589596657,"45.8073374091085","NSW"
2926,"17/04","New South Wales","Australia","-33.8688","151.2093",77,45,7.78700911773369,0.00423601816509927,3002.74473883905,2829.84666731163,0.00424500277188633,"163.631777188968","NSW"
2971,"22/04","New South Wales","Australia","-33.8688","151.2093",82,50,7.78067026606106,0.00440442395715317,3077.03709744871,2893.03237644574,0.0044141376882445,"157.375218031455","NSW"
3004,"27/04","New South Wales","Australia","-33.8688","151.2093",87,55,7.89221913526579,0.00210346241843879,3049.19775912813,2960.7128065497,0.00210567624747493,"329.52677189945","NSW"
3035,"02/05","New South Wales","Australia","-33.8688","151.2093",92,60,7.90212228163235,0.00193461802018366,3077.09635364844,2994.87279352833,0.00193649060100709,"358.286324911903","NSW"
