"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double","state"
319,"23/03","Queensland","Australia","-28.0167","153.4",52,20,1.27320498313405,0.226464110641454,1616.04319847497,67.8458636638693,0.254157598114476,3.06073743250806,"QLD"
16,"13/03","South Australia","Australia","-34.9285","138.6007",42,0,0,0,1,1,0,0,"SA"
19,"14/03","South Australia","Australia","-34.9285","138.6007",43,1,0,0,1,1,0,0,"SA"
20,"15/03","South Australia","Australia","-34.9285","138.6007",44,2,0,0,1,1,0,0,"SA"
29,"16/03","South Australia","Australia","-34.9285","138.6007",45,3,0,0,1,1,0,0,"SA"
29,"17/03","South Australia","Australia","-34.9285","138.6007",46,4,0,0,1,1,0,0,"SA"
37,"18/03","South Australia","Australia","-34.9285","138.6007",47,5,0,0,1,1,0,0,"SA"
42,"19/03","South Australia","Australia","-34.9285","138.6007",48,6,2.76747143788314,0.163701279059741,133.698607060742,13.514594273559,0.177862410367963,4.23421969908366,"SA"
50,"20/03","South Australia","Australia","-34.9285","138.6007",49,7,2.7678630393285,0.163546217698529,157.198617764208,15.9245674489586,0.177679783578836,4.23823424542689,"SA"
67,"21/03","South Australia","Australia","-34.9285","138.6007",50,8,2.71149911580901,0.179191952327822,221.26883290196,18.0057485020609,0.196250345169368,3.86818253585335,"SA"
100,"22/03","South Australia","Australia","-34.9285","138.6007",51,9,2.51824322081793,0.218892829223495,411.796167724737,19.2214891410771,0.244697874301537,3.16660524247793,"SA"
134,"23/03","South Australia","Australia","-34.9285","138.6007",52,10,2.35214887547011,0.246749008129634,697.067335482972,22.0297959821009,0.279857838548647,2.80911840665145,"SA"
16,"21/03","Tasmania","Australia","-41.4545","145.9707",50,0,0,0,0,0,0,0,"TAS"
22,"22/03","Tasmania","Australia","-41.4545","145.9707",51,1,0,0,0,0,0,0,"TAS"
28,"23/03","Tasmania","Australia","-41.4545","145.9707",52,2,0,0,0,0,0,0,"TAS"
11,"07/03","Victoria","Australia","-37.8136","144.9631",36,0,0,0,1,1,0,0,"VIC"
11,"08/03","Victoria","Australia","-37.8136","144.9631",37,1,0,0,1,1,0,0,"VIC"
15,"09/03","Victoria","Australia","-37.8136","144.9631",38,2,0,0,1,1,0,0,"VIC"
18,"10/03","Victoria","Australia","-37.8136","144.9631",39,3,0,0,1,1,0,0,"VIC"
21,"11/03","Victoria","Australia","-37.8136","144.9631",40,4,0,0,1,1,0,0,"VIC"
21,"12/03","Victoria","Australia","-37.8136","144.9631",41,5,0,0,1,1,0,0,"VIC"
36,"13/03","Victoria","Australia","-37.8136","144.9631",42,6,2.2813976283619,0.195841386810802,124.877799720595,8.04906746248929,0.216333963424087,3.5393294126822,"VIC"
49,"14/03","Victoria","Australia","-37.8136","144.9631",43,7,2.19650840540332,0.227406463167189,217.065443222416,8.9935567601131,0.2553400137334,3.04805400385803,"VIC"
57,"15/03","Victoria","Australia","-37.8136","144.9631",44,8,2.11061487710357,0.242204345087174,312.211253554797,10.5151725844907,0.274054512998237,2.86182801679494,"VIC"
71,"16/03","Victoria","Australia","-37.8136","144.9631",45,9,2.1117892093326,0.24074578875236,389.055430906457,13.373575558846,0.272197587262003,2.87916637774687,"VIC"
94,"17/03","Victoria","Australia","-37.8136","144.9631",46,10,2.04401835181129,0.249749754425145,539.026199340659,16.3343069212041,0.283704135210525,2.77536681529629,"VIC"
121,"18/03","Victoria","Australia","-37.8136","144.9631",47,11,1.99517122062648,0.25506543061668,725.128566130369,20.3979201677872,0.290546059334946,2.71752694547474,"VIC"
150,"19/03","Victoria","Australia","-37.8136","144.9631",48,12,2.02848089261848,0.250359902870263,884.762322820041,26.5832257766654,0.284487624290631,2.76860300956074,"VIC"
178,"20/03","Victoria","Australia","-37.8136","144.9631",49,13,2.25199001915898,0.227793409431319,904.930556661739,37.2909427611463,0.255825856853454,3.042876360165,"VIC"
229,"21/03","Victoria","Australia","-37.8136","144.9631",50,14,2.28244619900162,0.225137485759419,1108.02385842441,47.3898750487551,0.252494904567991,3.0787728583797,"VIC"
296,"22/03","Victoria","Australia","-37.8136","144.9631",51,15,2.21666956143831,0.230833681202708,1472.93243715363,58.1682114824923,0.259649718599879,3.00279914503142,"VIC"
355,"23/03","Victoria","Australia","-37.8136","144.9631",52,16,2.28766261425298,0.22501357661113,1742.32355236172,74.6480800093692,0.252339718605809,3.08046825884576,"VIC"
14,"13/03","Western Australia","Australia","-31.9505","115.8605",42,0,0,0,1,1,0,0,"WA"
17,"14/03","Western Australia","Australia","-31.9505","115.8605",43,1,0,0,1,1,0,0,"WA"
17,"15/03","Western Australia","Australia","-31.9505","115.8605",44,2,0,0,1,1,0,0,"WA"
28,"16/03","Western Australia","Australia","-31.9505","115.8605",45,3,0,0,1,1,0,0,"WA"
31,"17/03","Western Australia","Australia","-31.9505","115.8605",46,4,0,0,1,1,0,0,"WA"
35,"18/03","Western Australia","Australia","-31.9505","115.8605",47,5,0,0,1,1,0,0,"WA"
52,"19/03","Western Australia","Australia","-31.9505","115.8605",48,6,2.5681522891569,0.219708118100024,226.86561197926,10.4692686559902,0.245713076418358,3.15485466151226,"WA"
64,"20/03","Western Australia","Australia","-31.9505","115.8605",49,7,2.549560387091,0.226521110456921,305.166013013013,12.8014748518792,0.25422908690354,3.05996725498026,"WA"
90,"21/03","Western Australia","Australia","-31.9505","115.8605",50,8,2.44890862710671,0.249817529626496,490.866193097217,14.8607893461757,0.283791141465164,2.77461386155036,"WA"
120,"22/03","Western Australia","Australia","-31.9505","115.8605",51,9,2.33819487760336,0.268969220182426,766.398600451814,17.7455240507668,0.30861486149986,2.57705019217375,"WA"
140,"23/03","Western Australia","Australia","-31.9505","115.8605",52,10,2.42153379456984,0.255569274753009,868.017143786135,24.2457566563507,0.291196457235429,2.71216945475871,"WA"
