"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double"
10149,"10/03","Italy","Italy","43","12",39,18,5.60546779859356,0.204060561688952,44666.6242580289,2566.07808969112,0.226372422392447,3.39677189371116
31,"18/02","Korea, South","Korea, South","36","128",18,18,3.15393266455095,0.0140816990475153,33.3139137729495,27.3531406496833,0.0141813132011854,49.2232633449335
81,"18/02","Singapore","Singapore","1.2833","103.8333",18,18,3.04027583750782,0.0780379003175205,147.116287495676,49.3379095035206,0.081163634338616,8.88218644709389
802,"13/03","United Kingdom","United Kingdom","49.3723","-2.3644",42,18,2.86136005091702,0.205550519679781,2981.32479535777,167.740101623355,0.228201027717192,3.37214997869999
15,"21/02","US","US","47.4009","-121.4905",21,18,2.40116090543237,0.01258077300068,15.1148881829379,12.6739589051099,0.0126602438438497,55.0957544915943
